reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c2222f71-a265-4371-82c4-c92801da0db8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tolong min secepatnya dirubah sistem nya, Untuk menghindari pembeli maling. Kecewa berat sama keputusan pihak shopee Sudah jelas barang tidak di kembalikan. Bukti lengkap mulai kondisi barang sebelum dikirim sampai bukti unboxing paket setelah di return, jelas² hanya di kirim bungkusnya saja. Tapi tetap berpihak pada pembeli. Tolong solusinya kawan² kalau ada kejadian seperti ini lagi bagaimana ya cara mengatasinya agar bisa menang banding ?",3,42,3.60.30,2025-10-25 14:56:10,"Hai kak Denis Aditya, maaf ya udah buat kaka nggak nyaman terkait kendala pesanan kamu, biar aku bantu kakak boleh colek aku lewat DM/Live chat @shopee_id/@shopeecare dengan infoin username dan nomor pesanan kamu ya. Aku tunggu ya kak. Sehat selalu ^QR",2025-10-25 15:11:07,3.60.30
ee970d73-8e07-46e4-92ea-e576dffbd729,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gk jelas, ada pula produk yg salah pencet terus gk bisa d batalkan, kau pikir dengan hal semacam ini produk produk mu bisa laris terjual? saat ini terpencet saat itu pula di cari tulisan batalkan pesanan tidak ada, produk lain sudah pesan 3 hari pun masih ada tulisan batalkan pesanan, ini masih baru kepencet di menit itu pula barang sudah dalam pengiriman dan tidak bisa di batalkan, sial, sudah lelet jaringan, di tambah maslah seperti ini lagi, GK nyaman kali aku pakai shoope, apk rusak",1,22,3.60.30,2025-10-27 06:59:15,Hi kak an dika maaf ya terkait kendala kamu. Shopee akan selalu berusaha memperbaiki dan meningkatkan pelayanan untuk penggunanya supaya lebih baik lagi kedepannya. Supaya bisa dibantu cek mohon infokan detail kendala via DM IG @shopee_id / IG @shopeecare_id. Terima kasih ^AL,2025-10-27 07:12:42,3.60.30
3431c532-58b3-4855-8662-b8803c95f3b2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Shopee harus sangat selektif, sebagai kepanjangan penjual. Untuk toko toko yg menjual produk, namun tidak sesuai dgn gambar atau video atau deskripsi yang disajikan, shopee harus memprotek pembeli/konsumen. Kami pembeli......, (mungkin jumlahnya sangat banyak), (sekali lagi mungkin) bisa saja banyak mendapatkan barang yang dibeli, yang tidak sesuai dgn deskripsi yg disajikan. Saya kira Team Kerja Raksasa Shopee, bisa mengedit atau mengevaluasi ulasan"" pembeli, untuk ditindaklanjuti.",5,175,3.60.30,2025-10-25 09:30:50,Hai kak Iyen Suryanto makasih ya udah kasih penilaian buat Shopee. Semoga km nyaman menggunakan Shopee. Shopee akan selalu berusaha meningkatkan dan memperbaiki pelayanan bagi penggunanya supaya bisa lebih baik kedepannya. Jika km ada kendala/pertanyaan bisa DM IG @shopee_id . Terima kasih ^AL,2025-10-18 17:31:27,3.60.30
4075cd05-ae40-4acf-9ea5-0bd58f2b226b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Gue setor wifi lewat shopee malah pending (keterangan paling lama 30-90 menit) tapi sampe sekarang udah seharian lebih masih pending juga, wifi gua sampe diputus gara-gara pembayaran belom masuk, udah bikin pengaduan katanya nunggu maks 24 jam, pas udah seharian gua bikin laporan lagi berubah lagi bilangnya 1-3 hari kerja. Sebel banget gua, padahal udah lama jadi pelanggan shopee, tapi kali ini kecewa banget sih, dikira cari duit gampang apa ya, mau refund duit sendiri ajah dipersulit banget.",5,108,3.60.30,2025-10-27 09:24:05,Hai kak Nova Galuh Putriani. Mohon Maaf ya buat kak nggk nyaman terkait kendala yang dialami. Agar Aku bantu cek lebih lanjut boleh diinfoin ke aku Detail kendala ke DM  X / twitter @shopeeID . Aku Tunggu ya kak. Sehat selalu ^MK,2025-10-27 07:20:08,3.60.30
74074e07-2266-4ae3-a58a-cac1d946d7d9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"voucher nya cuma gimmick , giliran di pesan sekali yang lainya pada hilang trus pesanan jg gak diantar , gak kaya lazada voucher nya banyak , pengiriman cepat ! kecewa , baru pesan barang sekali lgsg ga dkirim , aplikasi taikkk pedagang nya jg sombong !",1,18,3.60.30,2025-10-26 23:54:50,"Haii kak Devit Putra , maaf ya udh bikin km kecewa terkait kendala penggunaan voucher yang kamu alami. Biar bisa Aku bantu cek kendalanya infoin ke aku detail kendala kakak ke DM @Shopee_id ya kak. Ditunggu ^IX",2025-10-27 00:57:36,3.60.30
a1cf03ba-c7bc-4917-a14d-048b165ad852,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi nya bagus, tapi pas harga flash sale murah ada beberapa toko yang sengaja tidak mengirimkan barangnya sampai batas kirim supaya batal otomatis dan itu membuat pembeli kecewa. Solusinya buat penjual yang seperti itu harus di apakan?",4,11,3.59.41,2025-10-26 20:44:18,"Hai kak Siti Sholikah, maaf ya udah buat kamu ngga nyaman mengenai kendala yg kamu alami, masukan dari kamu akan kami jadikan bahan evaluasi agar shopee lebih baik lagi kedepannya ya kak. Jika kamu ada kendala terkait shopee, kamu bisa infoin detail kendala kamu ke DM Social Media kita ya Kak. Have a nice day  ^GE",2025-10-26 22:40:08,3.59.41
922d9761-506f-44c1-986b-fdc16cd8ff7a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Semakin melambat, tidak bisa langsung pilih expedisi sendiri, expedisi paling buruk diantara yang lain. Semakin hari semakin buruk pelayanannya barang tidak sampai/hilang konsumen jadi korban. Komplain muter2 gak jelas. prosedur makin aneh, kurir bisa melakukan penerimaan barang sedangkan pembeli belum menerima barang dan belum melakukan klik penerimaan barang tapi status barang sudah diterima padahal masih dibawa kurir. Ini rawan penyalahgunaan oleh kurir",1,16,3.60.30,2025-10-26 05:02:41,"Hi Kak, makasih ya buat feedbacknya. Jika kakak ingin merubah pilihan jasa kirim. Mimin infoin kamu masih bisa ubah jasa kirim setelah pembayaran, dgn ketentuan maksimal 1x dalam waktu 1 jam, dan penjual belum atur pengiriman. Caranya, klik Rincian Pesanan > Informasi Pengiriman > Ubah. Stay safe ^MM",2022-10-17 03:51:46,3.60.30
17546a20-67f9-4efe-80eb-09edcdaeca01,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"shopee ini... paket semakin hari semakin lama sampai... jika ga bisa tangani pengiriman jgn nutup expedisi lainnya.. SPX kalian tuh mmg parah!!! andaikan tokopedia ada scan foto utk cari barang seperti shope gitu , ga bakalan belanja di app ini... ga perlu iming iming free ongkir tp paket dtg 2minggu..bahkan lebih..percuma ksh fasilitas gitu tp layanan pengiriman jelek..!!!",1,13,3.60.30,2025-10-24 19:28:05,"Hai kak GG ART, mohon maaf atas ketidaknyamanannya terkait kendala yg kamu alami. Agar aku bisa bantu cek aku saranin kakak untuk menginformasikan detail kendala kakak ke DM Social Media resmi Shopee ya, Sehat selalu ^KB",2025-10-24 20:16:07,3.60.30
50432df4-e469-478a-ac7d-997f4274317b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kebijakanya sepihak, pembeli sering drugikan... misalnya saat terlambat paylater 1x, padahal yg tepat waktu puluhan kali... paket cod, kadang sudah di batalkan tapi di tolak cuma beberapa menit setelah chekout, padahal tujuan pembatalan karena mau nambah barang di toko yang sama akhirnya ongkir dobel...",2,10,3.59.41,2025-10-25 11:56:48,"Hai kak Sulistyo Billy Djenawie, mohon maaf ya sudah buat kamu gak nyaman. Terkait kendala pada pesanan kakak yg diajukan pembatalannya, agar bisa aku bantu cek, infoin ke aku username dan nomor pesanannya melalui DM IG @shopee_id/@shopeecare_id ya. Terima kasih telah menghubungi shopee sehat selalu ^WE",2025-10-25 12:27:06,3.59.41
f43e5e51-376a-4adc-b88b-aff337262a7b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Dengan aplikasi shopee kebutuhan bisa dg mudah didapat. Ditambah lagi dg keinggulan² lain, termasuk harga yg lbh murah, & layanan jasa pengiriman gratis. Tapi sayangnya, makin lama proses pengiriman MAKIN LAMBAT. Khususnya jasa kirim milik shopee sendiri. padahal sy selalu ngasih bintang lima, KARENA MENGHARGAI. Tp pelayanan makin turun.",2,10,3.60.30,2025-10-27 04:23:24,"Hai kak Rahmat S. / Rhepydleo
maaf yaa udh buat ga nyaman terkait kendala yg kakak alami. agar aku bisa bantu cek boleh infoin Username dan SS/detail kendala kakak melalui via  DM ke sosmed kita @Shopee_id/@Shopeecare_id ya. Have a nice day ^DM",2025-10-27 05:40:38,3.60.30
fe4bd3fb-b084-471b-9557-43c356de68ba,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tambah kesini tambah males belanja di shoppe udah gak ada gratis ongkirnya udah gitu lama nunggunya rata rata estimasi pengantaran lebih dari 2 minggu kadang gak masuk akal padahal dah kena ongkir tapi masih juga lama paketanya sampai,mana gak ada pilihannya sekarang hanya mengandalkan spx super lambat 👎👎",2,8,3.60.30,2025-10-27 06:55:05,Hi kak Suhnanda maaf ya terkait kendala kamu. Shopee akan selalu berusaha memperbaiki dan meningkatkan pelayanan untuk penggunanya supaya lebih baik lagi kedepannya. Supaya bisa dibantu cek mohon infokan detail kendala via DM IG @shopee_id / IG @shopeecare_id. Terima kasih ^AL,2025-10-27 07:11:18,3.60.30
24b40627-b52b-438e-ab30-035d89398448,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sudah tidak ada lagi fitur blokir (kadang ribet bangat mengatasi konsumen rewel dan sering kasih ulasan bintang 1,tapi belanja terus,padahal sudah maksimal melayani dengan cara dan kwalitas yg baik,, berasa produksi bintang 1 terus untuk reputasi toko, padahal sudah di jaga mati Matian) tolong di aktifkan lagi fitur blokir supaya pembeli yg toxit tidak bisa belanjalagi",1,9,3.60.30,2025-10-26 11:05:39,"Hi kaK Baharudink, mohon maaf atas ketidaknyamanan nya.Terkait feedback dri kakak akan dijadikan evaluasi agar pelayanan dan juga performa aplikasi Shopee semakin lebih baik lagi ke depan nya. Kalau ada kendala terkait Shopee kakak bisa DM IG Aku di @shopeecare_id ya kak. Stay Safe ^NT",2025-10-26 12:53:13,3.60.30
c1042c5b-dbbe-458b-bbef-abe1dd782a6b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sangat buruk penanganan pengembalian barang dan dana nya sangat buruk. sangat berbelit katanya batas waktu sampai tgl 25 sampai lewat tgl 25 sampe hari ini masih belum di proses pengembalian dana nya padahal barang sudah di kirim tapi dana tida di kembalikan, kasian temen saya di buat menyesal belanja di shopee,lebih baik belanja di tik tok shop yg penanganan nya sangat bagus dan cepat, udah mah suka korupsi uang spaylater token listrik yg gagal di kirim. tapi tagihan tetap di tagih.buruk sekali",1,9,3.59.43,2025-10-26 04:51:54,"Hai kak Romsinah 02, maaf ya udah buat kamu risau. Agar bisa dibantu pengecekan kakak bisa infokan detail kendala kakak ke DM Social Media kita @Shopee_id / @Shopeecare_id ya, Sehat selalu ^ZF",2025-10-26 05:15:27,3.59.43
7f23909b-3ee6-42ea-8931-5d18d98abb8c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Shopee tetap menjadi andalan belanja online saya, meski terkadang, ada penjual yang lebih cepat mengunggah foto daripada memastikan stok tersedia. Syukurlah, proses pengembalian dana berjalan rapi, hanya saja perlu sedikit kesabaran dan mungkin secangkir kopi sambil menunggu. Antarmuka aplikasi mudah, promo berlimpah, dan tim Shopee sigap menanggapi. Pengalaman yang berliku, tapi tetap menyenangkan.",5,111,3.60.25,2025-10-25 07:22:46,"Hai kak desi eko nugroho, makasi buat rating dan feedbacknya. Wahhh aku seneng banget dengernya. Tetep setia sama Shopee ya kak. Shopee bakal ngasih banyak kejutan buat Shobat Shopee. Kalau ada kendala terkait aplikasi shopee kamu boleh banget hubungi aku di DM Sosmed kita @shopee_id / @shopeecare_id ya. Have a nice day ^AJ",2025-10-25 08:08:06,3.60.25
306efd35-ee1a-44cb-b3a6-1a9e50ea8d2b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"suka bngat belanja di shopee , suka memberikan harga murah namun tdk murahan barangnya , dan skalipun ada barang yg mungkin mau di kembalikan , prosesnya cepat dan tidak membutuhkan biaya",5,7,3.60.30,2025-10-26 02:17:14,"Hai Kak eka nurjannah, makasih ya buat penilaiannya, semoga Shopee terus bisa kasih pelayanan yg terbaik buat kakak. Shopee juga akan terus tingkatkan pelayanan yg terbaik biar kakak makin nyaman, aman dan asik belanja/bertransaksi di Shopee. yuk pantengin terus sosmed shopee biar kakak tahu update info promo menariknya. Have a Nice day ka^DT",2025-10-26 03:32:15,3.60.30
3336bf60-5968-4e12-8089-fda4aa33f672,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tlg untuk penilaian di kasih waktu tertentu 1 minggu atau 1 bulanan.krn sebagai penjual ngga tahu cara pelanggan pakai barangnya.apalagi elektronik yg tidak bisa di tebak.penjual merasa di rugikan.krn di pake sdh berbulan2 tp msh bisa di nilai jelek kl ada kendala di barang,2,6,3.59.41,2025-10-25 00:37:10,"Hi kak Ari Kamaqiellaasfa , maaf ya atas ketidaknyamanannya. Hal ini akan dijadikan masukan utk Shopee agar bisa lebih baik lagi buat kedepannya. Agar bisa aku bantu untuk cek, bisa infoin ke aku detail kendala kamu melalui DM Social Media ya kak @shopee_id / @shopeecare_id. Sehat selalu dan Terimakasih sudah menghubungi Shopee^GU",2025-10-25 01:24:38,3.59.41
